Handle,Title,Body (HTML),Vendor,Type,Tags,Condition,Cost per item,Variant Price,Variant Compare At Price,Variant SKU,Variant Inventory Qty,Image Src,Published,Status,Notes
2003-topps-chrome-lebron-james-rc,2003 Topps Chrome LeBron James Rookie Card,"Rookie card, sharp corners, centered.",Topps,Sports Cards,"basketball,rookie,lebron james",Near Mint,120.00,249.99,,DTP-SC-0001,1,,FALSE,draft,Bought at estate sale 2026-07
pokemon-base-set-booster-pack,Pokémon Base Set Booster Pack,"Unopened, factory sealed.",Pokemon,Pokemon & TCG,"pokemon,booster,base set",Sealed,95.00,189.99,,DTP-PK-0001,1,,FALSE,draft,
1989-upper-deck-griffey-jr-rc,1989 Upper Deck Ken Griffey Jr. Rookie Card,"Iconic rookie card, light wear on edges.",Upper Deck,Sports Cards,"baseball,rookie,griffey",Excellent,35.00,79.99,,DTP-SC-0002,1,,FALSE,draft,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
